postcode_sector,network,outage_type,outage_count,total_customers_affected,time_off_supply_hours_total_approx
OX1 5,SEPD,HV,1,137,12.14
OX13 6,SEPD,HV,1,137,12.14
OX14 2,SEPD,HV,1,137,12.14
SL6 0,SEPD,HV,1,16,12.14
TW19 6,SEPD,LV,1,4,11.03
SN10 1,SEPD,LV,1,9,10.99
SP8 4,SEPD,LV,1,17,10.99
SN8 1,SEPD,HV,1,8,9.46
FK17 8,SHEPD,PSI,1,2,2.68
IV19 1,SHEPD,PSI,1,11,2.68
PH33 7,SHEPD,LV,1,17,2.68
TW8 9,SEPD,PSI,1,7,2.68
SO15 5,SEPD,LV,1,42,2.66
SP3 6,SEPD,LV,1,7,1.57
AB51 7,SHEPD,HV,1,62,1.16
BH17 9,SEPD,LV,1,16,1.16
SN11 8,SEPD,HV,1,316,1.16
SP11 8,SEPD,HV,1,316,1.16
PO8 9,SEPD,HV,1,39,1.11
RG4 5,SEPD,LV,1,50,1.11
TW19 7,SEPD,LV,1,31,1.11
AB15 8,SHEPD,HV,1,993,0.0
AB32 6,SHEPD,HV,1,993,0.0
BH16 6,SEPD,PSI,1,23,0.0
BH21 3,SEPD,PSI,1,23,0.0
DT10 1,SEPD,LV,1,16,0.0
DT10 2,SEPD,LV,1,16,0.0
IV36 0,SHEPD,LV,1,19,0.0
IV36 1,SHEPD,LV,1,19,0.0
IV36 3,SHEPD,LV,1,19,0.0
IV4 7,SHEPD,LV,1,2,0.0
OX7 5,SEPD,LV,1,21,0.0
PH1 3,SHEPD,HV,1,309,0.0
PH7 3,SHEPD,HV,1,309,0.0
PH7 4,SHEPD,HV,1,309,0.0
RG31 6,SEPD,LV,1,11,0.0
RG5 4,SEPD,LV,1,7,0.0
SL3 9,SEPD,LV,1,29,0.0
SL4 2,SEPD,LV,1,29,0.0
SL4 4,SEPD,PSI,1,2,0.0
SN12 6,SEPD,LV,1,20,0.0
SN12 7,SEPD,LV,1,20,0.0
SN3 5,SEPD,LV,1,17,0.0
SO14 3,SEPD,LV,1,12,0.0
SO40 2,SEPD,LV,1,9,0.0
SO53 4,SEPD,LV,1,19,0.0
TW3 1,SEPD,LV,1,5,0.0
