postcode_sector,network,outage_type,outage_count,total_customers_affected,time_off_supply_hours_total_approx
GU8 4,SEPD,"HV,LV,PSI",13,333,1387.86
GU7 1,SEPD,"HV,LV,PSI",14,525,616.16
RG26 5,SEPD,"HV,LV,PSI",20,3034,482.18
SP3 4,SEPD,"HV,LV,PSI",34,2591,239.55
UB7 0,SEPD,"LV,PSI",5,32,199.47
GU27 1,SEPD,"LV,PSI",10,274,191.68
RG12 0,SEPD,"HV,LV,PSI",21,1075,151.21
BH24 3,SEPD,"HV,LV,PSI",35,1295,145.75
SP11 7,SEPD,"HV,LV,PSI",11,602,141.56
KW17 2,SHEPD,"HV,PSI",43,1325,141.07
SL2 5,SEPD,"HV,LV",15,1485,118.87
SN14 7,SEPD,"HV,LV,PSI",22,720,109.6
PH10 7,SHEPD,"HV,LV,PSI",39,739,108.23
BA12 0,SEPD,"HV,PSI",3,451,107.37
RG6 3,SEPD,"LV,PSI",15,501,105.34
SL6 6,SEPD,"HV,LV,PSI",15,1737,104.31
SN11 8,SEPD,"HV,LV,PSI",30,765,96.9
RG19 4,SEPD,"HV,LV",8,188,93.4
HP13 7,SEPD,"HV,LV,PSI",16,1262,93.15
SO32 2,SEPD,"HV,LV,PSI",27,4923,93.09
BH24 1,SEPD,"HV,LV,PSI",13,1036,90.07
DT2 0,SEPD,"HV,LV,PSI",13,666,89.66
SN4 7,SEPD,"LV,PSI",16,468,87.28
SP5 2,SEPD,"HV,LV,PSI",5,383,86.94
IV27 4,SHEPD,"HV,LV,PSI",38,3508,86.42
SN26 8,SEPD,"LV,PSI",6,87,86.03
RG7 3,SEPD,"HV,LV,PSI",12,521,85.08
UB9 5,SEPD,LV,5,275,85.06
HP13 5,SEPD,"HV,LV,PSI",20,1892,84.32
BH20 6,SEPD,"HV,LV,PSI",31,11239,84.09
PO7 6,SEPD,"HV,LV,PSI",16,372,82.86
UB2 5,SEPD,"HV,LV",15,1828,82.69
SN26 7,SEPD,"LV,PSI",6,88,81.74
BH9 3,SEPD,LV,6,163,79.46
RG10 9,SEPD,"HV,LV,PSI",22,2683,78.69
SL9 0,SEPD,"LV,PSI",10,147,78.69
RG22 4,SEPD,"HV,LV,PSI",17,943,78.64
SP3 5,SEPD,"HV,LV,PSI",14,569,76.29
DT2 9,SEPD,"HV,LV,PSI",15,10158,75.93
SN8 2,SEPD,"HV,LV,PSI",16,1063,75.68
HP13 6,SEPD,"HV,LV,PSI",13,1867,75.14
SO32 1,SEPD,"HV,LV,PSI",22,3997,75.12
BH16 6,SEPD,"HV,LV,PSI",22,12101,75.07
BA11 1,SEPD,"HV,LV,PSI",10,1039,73.82
OX14 3,SEPD,"HV,LV,PSI",19,5584,73.01
AB53 8,SHEPD,"HV,LV,PSI",21,264,72.91
BH12 4,SEPD,"HV,LV,PSI",9,303,71.52
OX7 4,SEPD,"HV,LV,PSI",21,1418,70.89
SO50 9,SEPD,"HV,LV,PSI",8,1532,68.87
SL6 9,SEPD,"HV,LV",8,1539,67.71
SL1 3,SEPD,"HV,LV",6,435,67.2
SO21 1,SEPD,"HV,LV,PSI",15,2553,66.61
RG19 8,SEPD,"HV,LV,PSI",15,2143,66.57
SO30 2,SEPD,"HV,LV,PSI",19,2328,66.52
AB51 5,SHEPD,"HV,LV,PSI",17,755,66.24
SN4 8,SEPD,"HV,LV,PSI",13,409,66.08
PA34 4,SHEPD,"HV,LV,PSI",25,757,65.7
GU8 6,SEPD,"HV,PSI",19,453,65.41
RG30 3,SEPD,"HV,LV,PSI",11,403,64.19
RG40 4,SEPD,"HV,LV,PSI",15,936,62.66
SL6 2,SEPD,"HV,LV,PSI",13,754,62.35
TW4 7,SEPD,"HV,LV",4,188,62.23
BA12 7,SEPD,"HV,LV,PSI",20,1275,62.17
SO31 6,SEPD,LV,7,100,61.88
GU10 4,SEPD,"HV,LV,PSI",15,459,61.84
RG20 8,SEPD,"HV,LV,PSI",18,1078,61.78
GU24 8,SEPD,"HV,LV",4,43,61.43
DT2 8,SEPD,"HV,LV,PSI",25,2867,61.26
BA12 6,SEPD,"HV,LV,PSI",16,1708,61.01
HP10 9,SEPD,"HV,LV,PSI",13,2096,60.67
RG20 9,SEPD,"HV,LV,PSI",17,1391,60.4
SL5 9,SEPD,"HV,LV,PSI",11,888,60.03
TW14 9,SEPD,LV,6,181,60.01
OX7 5,SEPD,"LV,PSI",16,422,59.66
SN6 7,SEPD,"HV,LV,PSI",8,237,59.63
SN3 1,SEPD,"HV,LV",14,1280,59.13
GU52 8,SEPD,"LV,PSI",11,125,59.03
IV36 2,SHEPD,"HV,LV,PSI",15,386,59.0
SN8 3,SEPD,"HV,LV,PSI",21,843,58.75
GU51 3,SEPD,"HV,LV",10,220,58.58
OX12 0,SEPD,"HV,LV,PSI",12,3765,58.43
RG7 1,SEPD,"HV,LV,PSI",10,692,58.43
PH16 5,SHEPD,"HV,PSI",20,292,58.42
OX33 1,SEPD,"HV,LV,PSI",12,1254,57.72
GU30 7,SEPD,"HV,LV,PSI",17,264,57.69
